Área,Centróide,Pertence a borda,Perimetro,Circularidade,Intensidade média:,Intensidade modal:,Intensidade mediana:,Intensidade mínima:,Intensidade máxima:
6,"(481.0,525.0)",0,6,2.094,187.167,182,188,182,191
1,"(836.0,656.0)",0,1,12.566,181.000,181,181,181,181
4,"(70.0,132.0)",0,4,3.142,109.750,110,109,109,110
65,"(1171.0,1145.0)",0,64,0.199,19.985,11,37,4,110
1,"(444.0,515.0)",0,1,12.566,109.000,109,109,109,109
7,"(1128.0,920.0)",0,7,1.795,183.714,182,185,181,188
1,"(1559.0,420.0)",0,1,12.566,181.000,181,181,181,181
1,"(376.0,51.0)",0,1,12.566,181.000,181,181,181,181
7,"(1455.0,376.0)",0,7,1.795,185.286,183,185,182,192
17,"(33.0,432.0)",0,16,0.834,188.941,181,191,181,202
19,"(1471.0,811.0)",0,18,0.737,188.421,183,186,181,204
1,"(1563.0,450.0)",0,1,12.566,183.000,183,183,183,183
4,"(788.0,603.0)",0,4,3.142,182.500,181,183,181,184
2681,"(898.0,875.0)",0,246,0.557,40.894,21,22,12,110
5,"(1054.0,27.0)",0,5,2.513,186.800,187,187,183,189
3,"(1451.0,447.0)",0,3,4.189,106.000,103,103,103,108
3,"(167.0,261.0)",0,3,4.189,182.333,181,184,181,184
1,"(1421.0,857.0)",0,1,12.566,181.000,181,181,181,181
30,"(1439.0,331.0)",0,25,0.603,192.667,189,197,181,207
17,"(1414.0,277.0)",0,17,0.739,187.294,184,188,183,193
6,"(171.0,217.0)",0,6,2.094,184.167,181,183,181,187
10,"(29.0,446.0)",0,10,1.257,184.800,181,188,181,189
2,"(1412.0,267.0)",0,2,6.283,181.000,181,181,181,181
5,"(1215.0,773.0)",0,5,2.513,182.200,181,183,181,185
3051,"(1035.0,57.0)",0,292,0.450,67.766,46,87,25,110
93,"(1150.0,1142.0)",0,52,0.432,33.269,7,100,4,108
1,"(202.0,212.0)",0,1,12.566,181.000,181,181,181,181
12,"(1442.0,861.0)",0,12,1.047,184.750,181,189,181,191
1,"(744.0,273.0)",0,1,12.566,181.000,181,181,181,181
1,"(1159.0,925.0)",0,1,12.566,185.000,185,185,185,185
7,"(822.0,633.0)",0,0,Infinity,103.429,106,106,95,109
952,"(1167.0,1110.0)",0,952,0.013,7.597,8,7,5,20
1,"(360.0,792.0)",0,1,12.566,109.000,109,109,109,109
1,"(105.0,498.0)",0,1,12.566,181.000,181,181,181,181
33,"(77.0,501.0)",0,33,0.381,185.636,182,183,181,192
7,"(8.0,128.0)",0,7,1.795,181.857,181,183,181,184
2,"(249.0,1142.0)",0,2,6.283,186.500,183,186,183,190
2875,"(845.0,325.0)",0,238,0.638,68.283,56,50,47,110
1,"(1226.0,772.0)",0,1,12.566,181.000,181,181,181,181
628,"(129.0,1192.0)",1,96,0.856,47.747,20,21,18,209
2800,"(776.0,289.0)",0,258,0.529,47.072,28,31,21,110
1,"(1554.0,416.0)",0,1,12.566,183.000,183,183,183,183
5,"(1014.0,31.0)",0,5,2.513,186.400,185,183,183,193
5,"(737.0,282.0)",0,5,2.513,184.600,181,188,181,188
1,"(1407.0,283.0)",0,1,12.566,182.000,182,182,182,182
3,"(1553.0,462.0)",0,3,4.189,184.000,181,185,181,186
3031,"(722.0,634.0)",0,246,0.629,56.532,41,45,32,110
1,"(1565.0,431.0)",0,1,12.566,181.000,181,181,181,181
46,"(1193.0,829.0)",0,44,0.299,97.239,101,95,74,110
1,"(925.0,233.0)",0,1,12.566,184.000,184,184,184,184
5,"(63.0,542.0)",0,5,2.513,181.800,181,182,181,183
41,"(551.0,644.0)",0,40,0.322,93.195,89,94,75,110
1,"(1551.0,414.0)",0,1,12.566,188.000,188,188,188,188
4,"(1103.0,180.0)",0,4,3.142,184.250,182,184,182,187
18,"(63.0,535.0)",0,14,1.154,190.000,194,195,181,203
7,"(158.0,655.0)",0,7,1.795,99.429,103,103,87,109
2,"(1046.0,797.0)",0,2,6.283,181.500,181,181,181,182
7,"(75.0,555.0)",0,7,1.795,183.571,181,186,181,188
7,"(161.0,237.0)",0,7,1.795,183.714,181,187,181,187
6,"(132.0,512.0)",0,6,2.094,104.667,103,103,101,109
1,"(173.0,272.0)",0,1,12.566,182.000,182,182,182,182
4144,"(237.0,1148.0)",0,448,0.259,65.225,63,59,27,213
5,"(825.0,613.0)",0,0,Infinity,109.800,110,110,109,110
2306,"(1146.0,893.0)",0,272,0.392,72.608,72,57,30,110
2725,"(40.0,133.0)",0,263,0.495,51.942,32,32,18,110
1,"(1042.0,783.0)",0,1,12.566,182.000,182,182,182,182
1,"(1125.0,867.0)",0,1,12.566,188.000,188,188,188,188
14,"(179.0,212.0)",0,14,0.898,185.071,181,182,181,195
1,"(688.0,639.0)",0,1,12.566,181.000,181,181,181,181
4,"(153.0,668.0)",0,4,3.142,106.750,107,107,105,108
4,"(1351.0,258.0)",0,4,3.142,186.500,184,188,184,190
1,"(1439.0,1134.0)",0,1,12.566,106.000,106,106,106,106
5,"(1162.0,199.0)",0,5,2.513,182.200,181,185,181,185
3,"(1066.0,37.0)",0,3,4.189,184.333,182,186,182,186
1,"(1044.0,791.0)",0,1,12.566,181.000,181,181,181,181
17,"(1120.0,910.0)",0,15,0.949,189.059,184,189,181,199
5,"(1210.0,303.0)",0,5,2.513,104.600,99,105,99,110
7,"(866.0,880.0)",0,7,1.795,183.857,181,183,181,189
2240,"(470.0,502.0)",0,257,0.426,59.490,38,35,17,110
1,"(1395.0,240.0)",0,1,12.566,182.000,182,182,182,182
2641,"(94.0,528.0)",0,241,0.571,65.103,33,40,18,110
35,"(99.0,360.0)",0,33,0.404,189.971,184,196,181,210
1,"(736.0,815.0)",0,1,12.566,110.000,110,110,110,110
12,"(1171.0,877.0)",0,12,1.047,184.583,181,185,181,189
15,"(1062.0,80.0)",0,14,0.962,187.867,184,193,183,194
1,"(688.0,635.0)",0,1,12.566,182.000,182,182,182,182
7,"(158.0,689.0)",0,7,1.795,182.714,182,182,181,184
1,"(1515.0,416.0)",0,1,12.566,182.000,182,182,182,182
10,"(1474.0,823.0)",0,10,1.257,186.900,183,190,181,194
10,"(161.0,242.0)",0,10,1.257,182.400,181,181,181,185
7,"(1439.0,791.0)",0,7,1.795,182.143,181,181,181,185
8,"(174.0,705.0)",0,8,1.571,185.625,182,188,181,194
11,"(814.0,626.0)",0,0,Infinity,104.545,107,95,95,109
1,"(892.0,904.0)",0,1,12.566,181.000,181,181,181,181
101,"(1188.0,1143.0)",0,100,0.127,21.792,12,97,4,108
