Área,Centróide,Pertence a borda,Perimetro,Circularidade,Intensidade média:,Intensidade modal:,Intensidade mediana:,Intensidade mínima:,Intensidade máxima:
16,"(1229.0,778.0)",0,16,0.785,51.750,54,49,44,55
157,"(43.0,447.0)",0,92,0.233,42.943,44,40,24,55
14,"(278.0,1161.0)",0,14,0.898,53.000,52,53,50,55
3,"(970.0,266.0)",0,3,4.189,50.667,47,47,47,55
5,"(1237.0,781.0)",0,5,2.513,53.600,54,55,52,55
31,"(220.0,1118.0)",0,28,0.497,54.419,55,54,52,55
1,"(204.0,224.0)",0,1,12.566,55.000,55,55,55,55
9,"(1062.0,140.0)",0,9,1.396,51.556,55,48,46,55
172,"(1053.0,128.0)",0,117,0.158,44.581,50,48,29,55
7,"(1420.0,300.0)",0,0,Infinity,51.571,49,49,47,55
6,"(1445.0,833.0)",0,6,2.094,51.667,53,50,48,53
1,"(96.0,406.0)",0,1,12.566,55.000,55,55,55,55
99,"(138.0,411.0)",0,60,0.346,45.091,47,47,33,55
1,"(1447.0,824.0)",0,1,12.566,55.000,55,55,55,55
1,"(741.0,656.0)",0,1,12.566,55.000,55,55,55,55
2,"(73.0,431.0)",0,2,6.283,53.500,52,53,52,55
3,"(800.0,607.0)",0,3,4.189,53.667,54,54,53,54
142,"(1056.0,69.0)",0,72,0.344,45.239,48,49,25,55
3,"(49.0,469.0)",0,3,4.189,53.333,55,55,50,55
6,"(1201.0,809.0)",0,6,2.094,51.667,53,51,49,53
7,"(920.0,894.0)",0,7,1.795,51.286,50,50,50,54
497,"(80.0,431.0)",0,247,0.102,42.553,53,45,20,55
1,"(231.0,1144.0)",0,1,12.566,55.000,55,55,55,55
59,"(1171.0,1145.0)",0,59,0.213,13.458,11,7,4,40
1,"(1560.0,439.0)",0,1,12.566,54.000,54,54,54,54
9,"(1150.0,921.0)",0,9,1.396,49.667,48,47,45,55
459,"(846.0,324.0)",0,173,0.193,52.887,55,52,47,55
5,"(1097.0,119.0)",0,5,2.513,47.800,41,50,41,53
12,"(1409.0,336.0)",0,12,1.047,51.667,55,51,47,55
2,"(695.0,635.0)",0,2,6.283,54.000,53,54,53,55
1,"(746.0,650.0)",0,1,12.566,55.000,55,55,55,55
2,"(212.0,672.0)",0,2,6.283,52.000,52,52,52,52
1904,"(774.0,290.0)",0,275,0.316,34.611,28,33,21,55
101,"(1085.0,103.0)",0,66,0.291,46.535,55,49,27,55
5,"(92.0,523.0)",0,5,2.513,54.600,55,55,54,55
3,"(278.0,1169.0)",0,3,4.189,54.333,55,53,53,55
1,"(188.0,669.0)",0,1,12.566,54.000,54,54,54,54
107,"(1078.0,134.0)",0,46,0.635,40.383,36,36,27,55
113,"(72.0,526.0)",0,65,0.336,43.239,52,38,26,55
154,"(799.0,635.0)",0,120,0.134,47.357,48,47,34,55
3,"(1204.0,814.0)",0,3,4.189,54.000,55,55,52,55
